Dates,covid_growth
2020-05-01,22.32
2020-05-02,22.32
2020-05-03,22.32
2020-05-04,22.32
2020-05-05,22.32
2020-05-06,22.32
2020-05-07,21.74
2020-05-08,21.74
2020-05-09,16.01
2020-05-10,15.02
2020-05-11,15.02
2020-05-12,12.41
2020-05-13,12.74
2020-05-14,11.13
2020-05-15,10.70
2020-05-16,9.22
2020-05-17,8.51
2020-05-18,6.82
2020-05-19,6.82
2020-05-20,6.82
2020-05-21,6.82
2020-05-22,6.30
2020-05-23,6.30
2020-05-24,6.30
2020-05-25,6.30
2020-05-26,6.30
2020-05-27,6.30
2020-05-28,6.30
2020-05-29,6.30
2020-05-30,6.30
2020-05-31,6.30
2020-06-01,6.30
2020-06-02,6.30
2020-06-03,6.22
2020-06-04,6.22
2020-06-05,6.22
2020-06-06,6.56
2020-06-07,6.56
2020-06-08,6.56
2020-06-09,6.56
2020-06-10,6.56
2020-06-11,6.48
2020-06-12,6.33
2020-06-13,6.87
2020-06-14,6.87
2020-06-15,7.20
2020-06-16,7.20
2020-06-17,7.20
2020-06-18,7.52
2020-06-19,7.52
2020-06-20,7.52
2020-06-21,7.84
2020-06-22,7.84
2020-06-23,7.84
2020-06-24,7.84
2020-06-25,7.84
2020-06-26,7.84
2020-06-27,7.84
2020-06-28,7.77
2020-06-29,6.48
2020-06-30,5.25
2020-07-01,4.04
2020-07-02,3.10
2020-07-03,1.76
2020-07-04,0.35
2020-07-05,0.33
2020-07-06,1.00
2020-07-07,2.19
2020-07-08,4.10
2020-07-09,5.75
2020-07-10,5.75
2020-07-11,8.98
2020-07-12,10.47
2020-07-13,10.47
2020-07-14,11.07
2020-07-15,11.07
2020-07-16,11.07
2020-07-17,11.07
2020-07-18,11.07
2020-07-19,11.07
2020-07-20,11.07
2020-07-21,11.07
2020-07-22,11.39
2020-07-23,9.13
2020-07-24,6.25
2020-07-25,5.04
2020-07-26,5.04
2020-07-27,5.14
2020-07-28,5.19
2020-07-29,5.24
2020-07-30,5.24
2020-07-31,5.24
