Dates,covid_growth
2020-08-01,5.24
2020-08-02,5.24
2020-08-03,5.24
2020-08-04,5.29
2020-08-05,5.29
2020-08-06,5.62
2020-08-07,5.68
2020-08-08,5.81
2020-08-09,6.68
2020-08-10,6.82
2020-08-11,7.00
2020-08-12,6.88
2020-08-13,7.86
2020-08-14,8.10
2020-08-15,8.41
2020-08-16,8.53
2020-08-17,9.38
2020-08-18,9.80
2020-08-19,9.80
2020-08-20,10.28
2020-08-21,10.87
2020-08-22,10.87
2020-08-23,11.11
2020-08-24,11.23
2020-08-25,11.47
2020-08-26,11.59
2020-08-27,11.77
2020-08-28,11.95
2020-08-29,12.13
2020-08-30,12.50
2020-08-31,12.56
